"","title","author","date","views","likes","link","sentiment","topics"
"1","Climate action needs new frontline leadership","Ozawa Bineshi Albert","December 2021",404000,12000,"https://ted.com/talks/ozawa_bineshi_albert_climate_action_needs_new_frontline_leadership",0.0297029702970297,"climate change, global issues, activism, fossil fuels, indigenous peoples, environment, natural resources, policy, sustainability, social change"
"2","The dark history of the overthrow of Hawaii","Sydney Iaukea","February 2022",214000,6400,"https://ted.com/talks/sydney_iaukea_the_dark_history_of_the_overthrow_of_hawaii",0.0299065420560748,"education, women, , history, united states, animation, government"
"3","How play can spark new ideas for your business","Martin Reeves","September 2021",412000,12000,"https://ted.com/talks/martin_reeves_how_play_can_spark_new_ideas_for_your_business",0.029126213592233,"business, leadership, work, innovation, success"
"4","Why is China appointing judges to combat climate change?","James K. Thornton","October 2021",427000,12000,"https://ted.com/talks/james_k_thornton_why_is_china_appointing_judges_to_combat_climate_change",0.0281030444964871,"climate change, pollution, china, countdown, environment, law"
"5","Cement's carbon problem — and 2 ways to fix it","Mahendra Singhi","October 2021",2400,72,"https://ted.com/talks/mahendra_singhi_cement_s_carbon_problem_and_2_ways_to_fix_it",0.03,"climate change, countdown, innovation, engineering, science, india, energy"
"6","The tragedy of air pollution — and an urgent demand for clean air","Rosamund Adoo-Kissi-Debrah","October 2021",422000,12000,"https://ted.com/talks/rosamund_adoo_kissi_debrah_the_tragedy_of_air_pollution_and_an_urgent_demand_for_clean_air",0.028436018957346,"pollution, environment, health, countdown, activism, human rights, disease, climate change, illness, policy, public health, kids, government"
"7","The myth of Narcissus and Echo","Iseult Gillespie","February 2022",412000,12000,"https://ted.com/talks/iseult_gillespie_the_myth_of_narcissus_and_echo",0.029126213592233,"education, , storytelling, love, ancient world, animation"
"8","You deserve the right to repair your stuff","Gay Gordon-Byrne","August 2021",455000,13000,"https://ted.com/talks/gay_gordon_byrne_you_deserve_the_right_to_repair_your_stuff",0.0285714285714286,"sustainability, society, creativity, social change, environment, technology"
"9","What nature can teach us about sustainable business","Erin Meezan","February 2022",66000,1900,"https://ted.com/talks/erin_meezan_what_nature_can_teach_us_about_sustainable_business",0.0287878787878788,"nature, climate change, business, sustainability, environment"
"10","The origins of blackface and Black stereotypes","Dwan Reece","March 2019",584000,17000,"https://ted.com/talks/dwan_reece_the_origins_of_blackface_and_black_stereotypes",0.0291095890410959,"united states, society, race, tedx, history, culture"
"11","A sex therapist's secret to rediscovering your spark","Ian Kerner","August 2021",87000,2600,"https://ted.com/talks/ian_kerner_a_sex_therapist_s_secret_to_rediscovering_your_spark",0.0298850574712644,"relationships, communication, love, humanity, sex"
"12","How do jetpacks work? And why don't we all have them?","Richard Browning","February 2022",213000,6400,"https://ted.com/talks/richard_browning_how_do_jetpacks_work_and_why_don_t_we_all_have_them",0.0300469483568075,"education, , animation, design, technology, innovation, flight, physics, science"
"13","What regret can teach you about living a good life","Daniel H. Pink","January 2022",622000,18000,"https://ted.com/talks/daniel_h_pink_what_regret_can_teach_you_about_living_a_good_life",0.0289389067524116,"communication, emotions, psychology, relationships, humanity, friendship"
"14","How to fix the ""bugs"" in the net-zero code","Lucas Joppa","October 2021",526000,15000,"https://ted.com/talks/lucas_joppa_how_to_fix_the_bugs_in_the_net_zero_code",0.0285171102661597,"environment, software, climate change, countdown, code, sustainability, technology"
"15","""Big Yellow Taxi"" / ""Song for Sunshine""","Belle and Sebastian","October 2021",23000,690,"https://ted.com/talks/belle_and_sebastian_big_yellow_taxi_song_for_sunshine",0.03,"music, countdown, performance"
"16","How film captures the space between hope and despair","Mounia Akl","December 2021",628000,18000,"https://ted.com/talks/mounia_akl_how_film_captures_the_space_between_hope_and_despair",0.0286624203821656,"creativity, art, middle east, film, storytelling"
"17","What is ""normal"" and what is ""different""?","Yana Buhrer Tavanier","February 2022",459000,13000,"https://ted.com/talks/yana_buhrer_tavanier_what_is_normal_and_what_is_different",0.028322440087146,", psychology, anthropology, education, animation, statistics"
"18","The ocean's ingenious climate solutions","Susan Ruffo","October 2021",522000,15000,"https://ted.com/talks/susan_ruffo_the_ocean_s_ingenious_climate_solutions",0.028735632183908,"ocean, climate change, nature, water, environment, countdown"
"19","How we're reducing the climate impact of electronics","Tim Dunn","February 2022",96000,2900,"https://ted.com/talks/tim_dunn_how_we_re_reducing_the_climate_impact_of_electronics",0.0302083333333333,"global issues, business, environment, climate change, sustainability, countdown"
"20","A vibrant dance performance of funk classics","Let It Happen","October 2021",4500,135,"https://ted.com/talks/let_it_happen_a_vibrant_dance_performance_of_funk_classics",0.03,"music, countdown, performance"
"21","""Dive In""","Dave Matthews","October 2021",1600,49,"https://ted.com/talks/dave_matthews_dive_in",0.030625,"countdown, music, performance"
"22","Got millet? How marketing could improve the lives of African farmers","Zoë Karl-Waithaka","September 2021",667000,20000,"https://ted.com/talks/zoe_karl_waithaka_got_millet_how_marketing_could_improve_the_lives_of_african_farmers",0.0299850074962519,"agriculture, food, marketing, farming, business, africa, sustainability"
"23","The myth of Gawain and the Green Knight","Dan Kwartler","February 2022",456000,13000,"https://ted.com/talks/dan_kwartler_the_myth_of_gawain_and_the_green_knight",0.0285087719298246,"education, animation, , history, culture, storytelling"
"24","How wind energy could power Earth ... 18 times over","Dan Jørgensen","October 2021",632000,18000,"https://ted.com/talks/dan_jorgensen_how_wind_energy_could_power_earth_18_times_over",0.0284810126582278,"wind energy, climate change, electricity, renewable energy, science, sustainability, energy, technology, countdown"
"25","The incredible cancer-detecting potential of photoacoustic imaging","Lei Li","August 2021",97000,2900,"https://ted.com/talks/lei_li_the_incredible_cancer_detecting_potential_of_photoacoustic_imaging",0.0298969072164948,"health, medical imaging, sound, health care, science, medical research"
"26","How to fix two of the most broken systems in the US","Nick Turner and Whitney Pennington Rodgers","November 2021",609000,18000,"https://ted.com/talks/nick_turner_and_whitney_pennington_rodgers_how_to_fix_two_of_the_most_broken_systems_in_the_us",0.0295566502463054,"justice system, social change, prison, equality, united states, race, crime"
"27","Can you outsmart the fallacy that divided a nation?","Elizabeth Cox","February 2022",363000,10000,"https://ted.com/talks/elizabeth_cox_can_you_outsmart_the_fallacy_that_divided_a_nation",0.0275482093663912,"slavery, , education, history, animation, media, united states"
"28","Sex education should start with consent","Kaz","December 2021",649000,19000,"https://ted.com/talks/kaz_sex_education_should_start_with_consent",0.0292758089368259,"parenting, education, teaching, sex, ted fellows, communication, relationships"
"29","Smart solutions to decarbonize buildings","Katie McGinty","January 2022",134000,4000,"https://ted.com/talks/katie_mcginty_smart_solutions_to_decarbonize_buildings",0.0298507462686567,"business, sustainability, pollution, environment, science, women in business, countdown"
"30","How to provide cooling for everyone — without warming the planet","Rachel Kyte","October 2021",613000,18000,"https://ted.com/talks/rachel_kyte_how_to_provide_cooling_for_everyone_without_warming_the_planet",0.0293637846655791,"countdown, climate change, sustainability, business, environment, government"
"31","The mind-bending art of deep time","Katie Paterson","December 2021",817000,24000,"https://ted.com/talks/katie_paterson_the_mind_bending_art_of_deep_time",0.02937576499388,"beauty, future, art, creativity, design, time"
"32","A different understanding of American patriotism","Deval Patrick","July 2021",7e+05,21000,"https://ted.com/talks/deval_patrick_a_different_understanding_of_american_patriotism",0.03,"politics, united states, democracy, justice system, policy, tedx, race"
"33","4 ways to redefine power at work to include women of color","Rha Goddess and Deepa Purushothaman","December 2021",678000,20000,"https://ted.com/talks/rha_goddess_and_deepa_purushothaman_4_ways_to_redefine_power_at_work_to_include_women_of_color",0.0294985250737463,"women in business, gender, work, women, race, business"
"34","How to boost nature-based solutions to climate change","Zac Goldsmith","October 2021",30000,913,"https://ted.com/talks/zac_goldsmith_how_to_boost_nature_based_solutions_to_climate_change",0.0304333333333333,"countdown, environment, climate change, nature, government, policy"
